time,y
0,0.2
1,0.64
2,0.9216
3,0.28901376
4,0.821939226
5,0.585420539
6,0.970813326
7,0.113339247
8,0.401973849
9,0.961563495
10,0.14783656
11,0.503923646
12,0.99993842
13,0.000246305
14,0.000984976
15,0.003936025
16,0.015682131
17,0.061744808
18,0.231729548
19,0.712123859
20,0.820013873
21,0.590364483
22,0.967337041
23,0.126384362
24,0.441645421
25,0.986378972
26,0.053741981
27,0.203415122
28,0.648149641
29,0.912206736
30,0.320342428
31,0.870892628
32,0.449754634
33,0.989901613
34,0.039985639
35,0.153547151
36,0.519881693
37,0.998418873
38,0.006314507
39,0.025098538
40,0.097874404
41,0.35318002
42,0.913775574
43,0.315159096
44,0.863335361
45,0.471949661
46,0.996852714
47,0.012549522
48,0.049568127
49,0.188444511
50,0.611732709
51,0.950063207
52,0.189772438
53,0.61503544
54,0.94706739
55,0.200522995
56,0.641254094
57,0.920189124
58,0.293764402
59,0.829867512
60,0.564749697
61,0.983229907
62,0.065955428
63,0.246421239
64,0.742791249
65,0.764209638
66,0.720773069
67,0.805037009
68,0.627809693
69,0.934658729
70,0.244287156
71,0.738443765
72,0.772578283
73,0.702804318
74,0.835481634
75,0.549808293
76,0.990076536
77,0.039299956
78,0.151021877
79,0.512857079
80,0.999338782
81,0.002643123
82,0.010544547
83,0.041733437
84,0.15996703
85,0.537510318
86,0.994371904
87,0.022385682
88,0.087538253
89,0.319501229
90,0.869680775
91,0.4533445
92,0.991293057
93,0.034524528
94,0.13333034
95,0.462213442
96,0.994288704
97,0.022714708
98,0.088795
99,0.323641792
100,0.87559113
